Subject,Type,x.5.1,y.5.1,x.5.4,y.5.4,x.5.5,y.5.5,x.5.3,y.5.3,x.5.2,y.5.2
4,Fall,0.178256331,0.061583862,0.033087084,0.027640972,0.028703431,0.028420137,190.7981065,23.23592875,0.183333333,0.15
4,Fall,0.147049632,0.101874998,0.034681227,0.025121875,0.034546596,0.01953765,130.5502333,64.38813149,0.183333333,0.116666667
4,Fall,0.306509242,0.033500119,0.015158411,0.033255325,0.015238349,0.030262356,590.8273266,6.818785594,0.066666667,0.166666667
49,Fall,0.33841936,0.117433837,0.017657343,0.026257048,0.01984611,0.024996813,682.8204337,84.44802754,0.083333333,0.133333333
49,Fall,0.198443944,0.125579928,0.033202061,0.026915907,0.034089664,0.025153643,238.3112019,96.80319995,0.166666667,0.133333333
49,Fall,0.104659455,0.084900153,0.032936569,0.031515608,0.034117497,0.032180867,66.83045071,44.02912543,0.166666667,0.15
51,Fall,0.28942304,0.086716978,0.021553246,0.029027076,0.02017827,0.029243936,517.8582797,45.84664359,0.116666667,0.133333333
51,Fall,0.21278109,0.096699722,0.02346678,0.022851476,0.02308543,0.022675971,275.160962,57.24924651,0.116666667,0.116666667
51,Fall,0.16518418,0.098414052,0.025694133,0.022770201,0.024525432,0.022569104,166.420952,58.57012037,0.133333333,0.116666667
52,Fall,0.116307701,0.063892432,0.031657892,0.030843144,0.032994172,0.030690009,81.56496607,24.94331369,0.166666667,0.15
52,Fall,0.256724309,0.086422208,0.018661383,0.02982751,0.018869168,0.031187173,413.1389065,45.32937105,0.083333333,0.15
52,Fall,0.180961517,0.064441311,0.032067904,0.042920221,0.026335917,0.038070872,199.807232,25.08852019,0.166666667,0.2
56,Fall,0.137131241,0.15532105,0.032837116,0.019947451,0.032993053,0.018352632,110.5206427,149.1106892,0.166666667,0.1
56,Fall,0.283915048,0.120391914,0.021850241,0.023206558,0.021995955,0.023613894,485.5349546,89.99469682,0.1,0.1
56,Fall,0.328348925,0.149025462,0.019342527,0.024757368,0.019342349,0.019621955,676.7178214,135.1715648,0.1,0.133333333
64,Fall,0.138584346,0.063934657,0.034983565,0.037296586,0.035324764,0.037970908,116.4352275,24.7854443,0.166666667,0.183333333
64,Fall,0.160209481,0.050063912,0.024037637,0.039680173,0.024299594,0.040312077,156.6450353,15.07214088,0.116666667,0.2
64,Fall,0.151930635,0.046496177,0.019855413,0.039762835,0.019484493,0.038861149,142.73694,13.10240459,0.1,0.2
72,Fall,0.113063869,0.052610078,0.024470162,0.031023688,0.024793364,0.03098578,74.3724533,16.82743186,0.116666667,0.15
72,Fall,0.074043023,0.065867159,0.045423545,0.042041606,0.045189645,0.041792312,32.98991558,26.28239611,0.216666667,0.2
72,Fall,0.102308214,0.090254845,0.033130474,0.028791311,0.033682804,0.027150884,64.07957355,49.42573096,0.166666667,0.133333333
75,Fall,0.174221295,0.046843112,0.037963074,0.033405984,0.036091296,0.034357102,182.3781641,13.41565267,0.2,0.166666667
75,Fall,0.115944743,0.094657208,0.03268296,0.031484002,0.032924509,0.032272597,81.70152922,54.87846479,0.166666667,0.15
75,Fall,0.092742421,0.100423212,0.032454109,0.020810671,0.030955493,0.021166268,52.22560087,62.08224208,0.166666667,0.1
78,Fall,0.194424538,0.072905883,0.020478817,0.037058429,0.020327467,0.037193739,234.2479804,32.30659207,0.1,0.183333333
78,Fall,0.327057074,0.14246929,0.023056236,0.023069952,0.022476072,0.020714273,650.5321028,123.0556344,0.116666667,0.133333333
78,Fall,0.268144339,0.090153852,0.015634239,0.030093978,0.016123625,0.028868742,446.5728574,49.61028565,0.083333333,0.15
79,Fall,0.114201524,0.024638508,0.029323635,0.036199919,0.030697493,0.037447757,79.13503312,3.686261797,0.15,0.183333333
79,Fall,0.143112027,0.080842316,0.029042688,0.033265346,0.029104117,0.029877064,125.4397021,39.97473052,0.133333333,0.166666667
79,Fall,0.13501117,0.048998674,0.030811883,0.038405959,0.029434441,0.038642558,111.0320195,14.71942842,0.15,0.183333333
81,Fall,0.064667939,0.043045021,0.027024887,0.045217009,0.025414171,0.045975122,25.50399469,11.24033529,0.133333333,0.216666667
81,Fall,0.171168606,0.077746996,0.030557481,0.033017632,0.02954637,0.032704393,175.9638324,36.35485513,0.15,0.166666667
81,Fall,0.122579982,0.074880062,0.032484361,0.022421935,0.030843838,0.022635066,89.9014853,34.2155328,0.166666667,0.116666667
82,Fall,0.156960362,0.119983283,0.021040444,0.034878101,0.021227895,0.035692377,146.3020292,87.77841087,0.116666667,0.166666667
82,Fall,0.109110335,0.082617618,0.030714228,0.038309122,0.032380473,0.037293037,72.57369025,41.44870011,0.15,0.183333333
82,Fall,0.169522314,0.176633437,0.022722966,0.026379742,0.022593123,0.026618106,179.3664971,189.0208353,0.1,0.133333333
85,Fall,0.16212045,0.022983644,0.020903651,0.038306802,0.020779751,0.038362743,162.9012227,3.193937382,0.1,0.183333333
85,Fall,0.097291872,0.059205454,0.021435831,0.027911106,0.019812341,0.028600435,58.86908048,21.38378653,0.1,0.133333333
85,Fall,0.115074591,0.064036975,0.029029726,0.031209818,0.029606403,0.032496394,79.81467805,25.07665924,0.15,0.15
86,Fall,0.12157173,0.027816188,0.017932409,0.035853266,0.018277229,0.036688006,91.38375275,4.615791141,0.083333333,0.183333333
86,Fall,0.115510445,0.053843784,0.023065631,0.030019307,0.022453853,0.029397304,80.52092241,17.90358378,0.116666667,0.133333333
